TIME     | VALID | REASON      | COD | RESPONSE DATA                     | REQUEST
==================================================================================
19:32:07 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://www.cheapshark.com/tos-api 
19:32:13 | False | status-code | 404 | File not found.                   | https://www.cheapshark.com/api/1.0/terms.php 
19:32:19 | True  | valid-req   | 200 | <!DOCTYPE html><html lang="en"... | https://www.cheapshark.com/terms 
19:32:22 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://www.cheapshark.com/api/1.0/contact 
19:32:28 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://www.cheapshark.com/api/1.0/support 
19:32:35 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://www.cheapshark.com/api/1.0/support 
19:32:43 | True  | valid-req   | 200 | <!doctype html><html lang="en-... | https://opensource.org/licenses/MIT 
19:32:47 | True  | valid-req   | 200 | <!doctype html><html lang="en"... | https://apidocs.cheapshark.com 
19:32:54 | True  | valid-req   | 200 | [{"internalName":"HALFLIFE","t... | https://www.cheapshark.com/api/1.0/deals?storeID=1&upperPrice=10 
19:32:55 | True  | valid-req   | 200 | [{"internalName":"HALFLIFE","t... | https://www.cheapshark.com/api/1.0/deals?storeID=1&upperPrice=10 
19:32:56 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://www.cheapshark.com/invalidRoute/?invalidParam=invalidValue 
19:33:37 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/deals/deals?storeID=1&upperPrice=10 
19:33:37 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/deals/games?storeID=1&upperPrice=10 
19:33:38 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/deals/stores?storeID=1&upperPrice=10 
19:33:39 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/deals/cheapest?storeID=1&upperPrice=10 
19:33:39 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/deals/cheapestEver?storeID=1&upperPrice=10 
19:33:40 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/deals/topRated?storeID=1&upperPrice=10 
19:33:41 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/deals/comingSoon?storeID=1&upperPrice=10 
19:33:42 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/deals/wishlist?storeID=1&upperPrice=10 
19:33:42 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/deals/alerts?storeID=1&upperPrice=10 
19:33:43 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/deals/dealID?storeID=1&upperPrice=10 
19:33:44 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/deals/deals?storeID=1&storeID=1&upperPrice=10 
19:33:45 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/deals/games?title=example&storeID=1&upperPrice=10 
19:33:45 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/deals/stores?sort=desc&storeID=1&upperPrice=10 
19:33:46 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/deals/78?storeID=1&upperPrice=10 
19:33:47 | True  | valid-req   | 200 | <!DOCTYPE html><html lang="en"... | https://www.cheapshark.com/api/1.0?storeID=1&upperPrice=10 
19:33:47 | True  | valid-req   | 200 | [{"internalName":"HALFLIFE","t... | https://www.cheapshark.com/api/1.0/deals?storeID=1&upperPrice=10 
19:33:49 | True  | valid-req   | 200 | [{"storeID":"1","storeName":"S... | https://www.cheapshark.com/api/1.0/stores?storeID=1&upperPrice=10 
19:33:49 | False | status-code | 400 | Invalid Request                   | https://www.cheapshark.com/api/1.0/games?storeID=1&upperPrice=10 
19:33:50 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://www.cheapshark.com/api/1.0/top?storeID=1&upperPrice=10 
19:33:51 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/deals/show?storeID=1&upperPrice=10 
19:33:52 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/deals/latest?storeID=1&upperPrice=10 
19:33:53 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/deals/rating?storeID=1&upperPrice=10 
19:33:53 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/games/ids?storeID=1&upperPrice=10 
19:33:54 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/games/packs?storeID=1&upperPrice=10 
19:33:55 | False | status-code | 500 | <!DOCTYPE HTML PUBLIC "-//IETF... | https://www.cheapshark.com/api/1.0/games/upcoming?storeID=1&upperPrice=10 
19:33:56 | True  | valid-req   | 200 | [{"internalName":"HALFLIFE","t... | https://www.cheapshark.com/api/1.0/deals?storeID=1&storeID=1&upperPrice=10 
19:33:57 | True  | valid-req   | 200 | [{"gameID":"214911","steamAppI... | https://www.cheapshark.com/api/1.0/games?title=Assassin's+Creed+Valhalla&storeID=1&upperPrice=10 
19:33:58 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://www.cheapshark.com/api/1.0/7?storeID=1&upperPrice=10 
19:33:58 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://www.cheapshark.com/api/deals?storeID=1&upperPrice=10 
19:33:59 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://www.cheapshark.com/api/games?storeID=1&upperPrice=10 
19:34:00 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://www.cheapshark.com/api/stores?storeID=1&upperPrice=10 
19:34:01 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://www.cheapshark.com/api/deals?storeID=1&storeID=1&upperPrice=10 
19:34:01 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://www.cheapshark.com/api/deals?upperPrice=10&storeID=1&upperPrice=10 
19:34:02 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://www.cheapshark.com/api/games?storeID=1&storeID=1&upperPrice=10 
