TIME     | VALID | REASON      | COD | RESPONSE DATA                     | REQUEST
==================================================================================
13:40:40 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/terms 
13:40:49 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/terms-of-service 
13:40:54 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/terms 
13:41:12 | True  | valid-req   | 200 | <!doctype html><html lang="en"... | https://www.balldontlie.io/#contact 
13:41:25 | True  | valid-req   | 200 | <!doctype html><html lang="en-... | https://opensource.org/licenses/MIT 
13:41:27 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/documentation 
13:41:31 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/docs 
13:41:37 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/docs 
13:41:58 | True  | valid-req   | 200 | {"data":[{"id":237,"first_name... | https://www.balldontlie.io/api/v1/players?search=LeBron 
13:41:58 | True  | valid-req   | 200 | {"data":[{"id":237,"first_name... | https://www.balldontlie.io/api/v1/players?search=LeBron 
13:41:59 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/invalidRoute/?invalidParam=invalidValue 
13:43:27 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/all?search=LeBron 
13:43:27 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/average_stats?search=LeBron 
13:43:28 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/games?search=LeBron 
13:43:29 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/season_averages?search=LeBron 
13:43:29 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/stats?search=LeBron 
13:43:30 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/all?search=LeBron+James&search=LeBron 
13:43:30 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/average_stats?season=2021&search=LeBron 
13:43:31 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/games?seasons[]=2019&search=LeBron 
13:43:32 | True  | valid-req   | 200 | {"id":87,"first_name":"Jevon",... | https://www.balldontlie.io/api/v1/players/87?search=LeBron 
13:43:32 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1?search=LeBron 
13:43:33 | True  | valid-req   | 200 | {"data":[{"id":237,"first_name... | https://www.balldontlie.io/api/v1/players?search=LeBron 
13:43:34 | True  | valid-req   | 200 | {"data":[{"id":1,"abbreviation... | https://www.balldontlie.io/api/v1/teams?search=LeBron 
13:43:34 | True  | valid-req   | 200 | {"data":[{"id":47179,"date":"2... | https://www.balldontlie.io/api/v1/games?search=LeBron 
13:43:36 | True  | valid-req   | 200 | {"data":[{"id":2814605,"ast":0... | https://www.balldontlie.io/api/v1/stats?search=LeBron 
13:43:36 | True  | valid-req   | 200 | {"data":[]}                       | https://www.balldontlie.io/api/v1/season_averages?search=LeBron 
13:43:37 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/season_player_averages?search=LeBron 
13:43:38 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/season_team_averages?search=LeBron 
13:43:38 | True  | valid-req   | 200 | {"data":[{"id":237,"first_name... | https://www.balldontlie.io/api/v1/players?search=lebron&search=LeBron 
13:43:39 | True  | valid-req   | 200 | {"data":[{"id":1,"abbreviation... | https://www.balldontlie.io/api/v1/teams?per_page=10&search=LeBron 
13:43:40 | True  | valid-req   | 200 | {"data":[{"id":62597,"date":"2... | https://www.balldontlie.io/api/v1/games?seasons[]=2019&team_ids[]=1&search=LeBron 
13:43:40 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/65?search=LeBron 
13:43:41 | True  | valid-req   | 200 | {"data":[{"id":237,"first_name... | https://www.balldontlie.io/api/v1/players?search=LeBron 
13:43:42 | True  | valid-req   | 200 | {"data":[{"id":1,"abbreviation... | https://www.balldontlie.io/api/v1/teams?search=LeBron 
13:43:42 | True  | valid-req   | 200 | {"data":[{"id":47179,"date":"2... | https://www.balldontlie.io/api/v1/games?search=LeBron 
13:43:44 | True  | valid-req   | 200 | {"data":[{"id":2814605,"ast":0... | https://www.balldontlie.io/api/v1/stats?search=LeBron 
13:43:44 | True  | valid-req   | 200 | {"data":[]}                       | https://www.balldontlie.io/api/v1/season_averages?search=LeBron 
13:43:45 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/player_season_stats?search=LeBron 
13:43:46 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/player_game_stats?search=LeBron 
13:43:46 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/team_stats?search=LeBron 
13:43:47 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/team_game_stats?search=LeBron 
13:43:48 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/seasons?search=LeBron 
13:43:48 | True  | valid-req   | 200 | {"data":[{"id":237,"first_name... | https://www.balldontlie.io/api/v1/players?search=LeBron+James&search=LeBron 
13:43:49 | True  | valid-req   | 200 | {"data":[{"id":1,"abbreviation... | https://www.balldontlie.io/api/v1/teams?per_page=10&search=LeBron 
13:43:49 | True  | valid-req   | 200 | {"data":[{"id":473985,"date":"... | https://www.balldontlie.io/api/v1/games?team_ids[]=1&start_date=2022-01-01&end_date=2022-02-01&search=LeBron 
13:43:50 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/80?search=LeBron 
13:44:30 | True  | valid-req   | 200 | {"data":[]}                       | https://www.balldontlie.io/api/v1/season_averages?search=LeBron&per_page=20 
13:44:31 | True  | valid-req   | 200 | {"data":[]}                       | https://www.balldontlie.io/api/v1/season_averages?search=LeBron&page=2 
13:44:32 | True  | valid-req   | 200 | {"data":[]}                       | https://www.balldontlie.io/api/v1/season_averages?search=LeBron&player_ids[]=1 
13:44:33 | True  | valid-req   | 200 | {"data":[]}                       | https://www.balldontlie.io/api/v1/season_averages?search=LeBron&seasons[]=2019 
13:44:33 | True  | valid-req   | 200 | {"data":[]}                       | https://www.balldontlie.io/api/v1/season_averages?search=LeBron&seasons[]=2020 
13:44:34 | True  | valid-req   | 200 | {"data":[]}                       | https://www.balldontlie.io/api/v1/season_averages?search=LeBron&team_ids[]=5 
13:44:35 | True  | valid-req   | 200 | {"data":[]}                       | https://www.balldontlie.io/api/v1/season_averages?search=LeBron&team_ids[]=10 
13:44:36 | True  | valid-req   | 200 | {"data":[]}                       | https://www.balldontlie.io/api/v1/season_averages?search=LeBron&conference=East 
13:44:37 | True  | valid-req   | 200 | {"data":[]}                       | https://www.balldontlie.io/api/v1/season_averages?search=LeBron&division=Atlantic 
13:44:38 | True  | valid-req   | 200 | {"data":[]}                       | https://www.balldontlie.io/api/v1/season_averages?search=LeBron&sort=asc 
13:44:38 | True  | valid-req   | 200 | {"data":[]}                       | https://www.balldontlie.io/api/v1/season_averages 
13:44:39 | True  | valid-req   | 200 | {"id":87,"first_name":"Jevon",... | https://www.balldontlie.io/api/v1/players/87?per_page=20 
13:44:40 | True  | valid-req   | 200 | {"id":87,"first_name":"Jevon",... | https://www.balldontlie.io/api/v1/players/87?page=2 
13:44:41 | True  | valid-req   | 200 | {"id":87,"first_name":"Jevon",... | https://www.balldontlie.io/api/v1/players/87?search=LeBron 
13:44:42 | True  | valid-req   | 200 | {"id":87,"first_name":"Jevon",... | https://www.balldontlie.io/api/v1/players/87?seasons[]=2019 
13:44:43 | True  | valid-req   | 200 | {"id":87,"first_name":"Jevon",... | https://www.balldontlie.io/api/v1/players/87?team_ids[]=5 
13:44:43 | True  | valid-req   | 200 | {"id":87,"first_name":"Jevon",... | https://www.balldontlie.io/api/v1/players/87?position=PG 
13:44:44 | True  | valid-req   | 200 | {"id":87,"first_name":"Jevon",... | https://www.balldontlie.io/api/v1/players/87?sort=desc 
13:44:45 | True  | valid-req   | 200 | {"id":87,"first_name":"Jevon",... | https://www.balldontlie.io/api/v1/players/87?stats=points 
13:44:46 | True  | valid-req   | 200 | {"id":87,"first_name":"Jevon",... | https://www.balldontlie.io/api/v1/players/87?first_name=Stephen 
13:44:47 | True  | valid-req   | 200 | {"id":87,"first_name":"Jevon",... | https://www.balldontlie.io/api/v1/players/87?last_name=Curry 
13:44:48 | True  | valid-req   | 200 | {"data":[{"id":2814605,"ast":0... | https://www.balldontlie.io/api/v1/stats?seasons 
13:44:50 | True  | valid-req   | 200 | {"data":[{"id":2814605,"ast":0... | https://www.balldontlie.io/api/v1/stats?player_ids 
13:44:51 | True  | valid-req   | 200 | {"data":[{"id":2814605,"ast":0... | https://www.balldontlie.io/api/v1/stats?team_ids 
13:44:53 | True  | valid-req   | 200 | {"data":[{"id":2814605,"ast":0... | https://www.balldontlie.io/api/v1/stats?per_page 
13:44:54 | True  | valid-req   | 200 | {"data":[{"id":2814605,"ast":0... | https://www.balldontlie.io/api/v1/stats?page 
13:44:56 | True  | valid-req   | 200 | {"data":[{"id":2814605,"ast":0... | https://www.balldontlie.io/api/v1/stats?start_date 
13:44:57 | True  | valid-req   | 200 | {"data":[{"id":2814605,"ast":0... | https://www.balldontlie.io/api/v1/stats?end_date 
13:44:58 | True  | valid-req   | 200 | {"data":[{"id":2814605,"ast":0... | https://www.balldontlie.io/api/v1/stats?player_position 
13:45:00 | True  | valid-req   | 200 | {"data":[{"id":2814605,"ast":0... | https://www.balldontlie.io/api/v1/stats?sort 
13:45:01 | True  | valid-req   | 200 | {"data":[{"id":2814605,"ast":0... | https://www.balldontlie.io/api/v1/stats?search 
14:07:47 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/documentation 
14:07:55 | True  | valid-req   | 200 | <!doctype html><html lang="en"... | https://www.balldontlie.io 
14:07:56 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/invalidRoute/?invalidParam=invalidValue 
14:08:34 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/87/games_played?stats=points 
14:08:34 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/87/season?stats=points 
14:08:35 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/87/team?stats=points 
14:08:36 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/87/opponent?stats=points 
14:08:36 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/87/status?stats=points 
14:08:37 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/87/conference?stats=points 
14:08:38 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/87/division?stats=points 
14:08:38 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/87/per_page?stats=points 
14:08:39 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/87/page?stats=points 
14:08:40 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/87/games_played?seasons[]=2019&stats=points 
14:08:40 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/87/season?year=2022&stats=points 
14:08:41 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/87/team?seasons[]=2019&stats=points 
14:08:42 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/players/87/53?stats=points 
14:08:42 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1?per_page=10&search=LeBron 
14:08:43 | True  | valid-req   | 200 | {"data":[{"id":237,"first_name... | https://www.balldontlie.io/api/v1/players?seasons[]=2019&team_ids[]=1&search=LeBron 
14:08:43 | True  | valid-req   | 200 | {"data":[{"id":1,"abbreviation... | https://www.balldontlie.io/api/v1/teams?seasons[]=2019&team_ids[]=1&search=LeBron 
14:08:44 | True  | valid-req   | 200 | {"data":[{"id":62597,"date":"2... | https://www.balldontlie.io/api/v1/games?seasons[]=2019&team_ids[]=1&search=LeBron 
14:08:46 | True  | valid-req   | 200 | {"data":[{"id":1448929,"ast":5... | https://www.balldontlie.io/api/v1/stats?seasons[]=2019&team_ids[]=1&search=LeBron 
14:08:46 | True  | valid-req   | 200 | {"data":[{"id":237,"first_name... | https://www.balldontlie.io/api/v1/players?search=LeBron+James&seasons[]=2019&team_ids[]=1&search=LeBron 
14:08:47 | True  | valid-req   | 200 | {"data":[{"id":1,"abbreviation... | https://www.balldontlie.io/api/v1/teams?per_page=10&seasons[]=2019&team_ids[]=1&search=LeBron 
14:08:48 | False | status-code | 500 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/games?team_ids[]=1,2,3&seasons[]=2019&team_ids[]=1&search=LeBron 
14:08:48 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/92?seasons[]=2019&team_ids[]=1&search=LeBron 
14:08:49 | True  | valid-req   | 200 | {"data":[{"id":237,"first_name... | https://www.balldontlie.io/api/v1/players?per_page=10&search=LeBron 
14:08:49 | True  | valid-req   | 200 | {"data":[{"id":1,"abbreviation... | https://www.balldontlie.io/api/v1/teams?per_page=10&search=LeBron 
14:08:50 | True  | valid-req   | 200 | {"data":[{"id":47179,"date":"2... | https://www.balldontlie.io/api/v1/games?per_page=10&search=LeBron 
14:08:51 | True  | valid-req   | 200 | {"data":[{"id":2814605,"ast":0... | https://www.balldontlie.io/api/v1/stats?per_page=10&search=LeBron 
14:08:52 | True  | valid-req   | 200 | {"data":[]}                       | https://www.balldontlie.io/api/v1/season_averages?per_page=10&search=LeBron 
14:08:52 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/player_stats?per_page=10&search=LeBron 
14:08:53 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/team_stats?per_page=10&search=LeBron 
14:08:54 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/season?per_page=10&search=LeBron 
14:08:54 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/player_season_stats?per_page=10&search=LeBron 
14:08:55 | False | status-code | 404 | <text/html; charset=UTF-8 DATA... | https://www.balldontlie.io/api/v1/team_season_stats?per_page=10&search=LeBron 
14:08:56 | True  | valid-req   | 200 | {"data":[{"id":237,"first_name... | https://www.balldontlie.io/api/v1/players?search=lebron&per_page=10&search=LeBron 
14:08:56 | True  | valid-req   | 200 | {"data":[{"id":1,"abbreviation... | https://www.balldontlie.io/api/v1/teams?per_page=10&per_page=10&search=LeBron 
