TIME     | VALID | REASON      | COD | RESPONSE DATA                     | REQUEST
==================================================================================
15:35:07 | False | status-code | 404 | <!DOCTYPE html><html><head><li... | https://coincap.io/terms 
15:35:12 | False | status-code | 404 | <!DOCTYPE html><html><head><li... | https://coincap.io/terms-of-service 
15:35:18 | True  | valid-req   | 200 | <!doctype html><html lang="en"... | https://docs.coincap.io/#terms-of-service 
15:35:20 | False | status-code | 404 | <!DOCTYPE html><html><head><li... | https://coincap.io/support 
15:35:25 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://coinmarketcap.com/contact 
15:35:28 | True  | valid-req   | 200 | <!doctype html><html lang="en"... | https://docs.coincap.io/#contact-us 
15:35:33 | True  | valid-req   | 200 | <!doctype html><html lang="en-... | https://opensource.org/licenses/MIT 
15:35:45 | True  | valid-req   | 200 | <!doctype html><html lang="en"... | https://docs.coincap.io 
15:35:53 | True  | valid-req   | 200 | {"data":[{"id":"bitcoin","rank... | https://api.coincap.io/v2/assets?limit=10&convert=USD 
15:35:53 | True  | valid-req   | 200 | {"data":[{"id":"bitcoin","rank... | https://api.coincap.io/v2/assets?limit=10&convert=USD 
15:35:54 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/invalidRoute/?invalidParam=invalidValue 
15:36:28 | True  | valid-req   | 200 | {"data":{"id":"bitcoin","rank"... | https://api.coincap.io/v2/assets/bitcoin?limit=10&convert=USD 
15:36:29 | True  | valid-req   | 200 | {"data":{"id":"ethereum","rank... | https://api.coincap.io/v2/assets/ethereum?limit=10&convert=USD 
15:36:29 | False | status-code | 404 | {"error":"ripple not found","t... | https://api.coincap.io/v2/assets/ripple?limit=10&convert=USD 
15:36:30 | True  | valid-req   | 200 | {"data":{"id":"litecoin","rank... | https://api.coincap.io/v2/assets/litecoin?limit=10&convert=USD 
15:36:30 | True  | valid-req   | 200 | {"data":{"id":"cardano","rank"... | https://api.coincap.io/v2/assets/cardano?limit=10&convert=USD 
15:36:31 | True  | valid-req   | 200 | {"data":{"id":"polkadot","rank... | https://api.coincap.io/v2/assets/polkadot?limit=10&convert=USD 
15:36:32 | True  | valid-req   | 200 | {"data":{"id":"stellar","rank"... | https://api.coincap.io/v2/assets/stellar?limit=10&convert=USD 
15:36:32 | True  | valid-req   | 200 | {"data":{"id":"chainlink","ran... | https://api.coincap.io/v2/assets/chainlink?limit=10&convert=USD 
15:36:33 | True  | valid-req   | 200 | {"data":{"id":"dogecoin","rank... | https://api.coincap.io/v2/assets/dogecoin?limit=10&convert=USD 
15:36:33 | True  | valid-req   | 200 | {"data":{"id":"eos","rank":"58... | https://api.coincap.io/v2/assets/eos?limit=10&convert=USD 
15:36:34 | True  | valid-req   | 200 | {"data":{"id":"bitcoin","rank"... | https://api.coincap.io/v2/assets/bitcoin?interval=d1&limit=10&convert=USD 
15:36:34 | True  | valid-req   | 200 | {"data":{"id":"ethereum","rank... | https://api.coincap.io/v2/assets/ethereum?interval=d1&limit=10&convert=USD 
15:36:35 | False | status-code | 404 | {"error":"ripple not found","t... | https://api.coincap.io/v2/assets/ripple?limit=10&limit=10&convert=USD 
15:36:36 | False | status-code | 404 | {"error":"18 not found","times... | https://api.coincap.io/v2/assets/18?limit=10&convert=USD 
15:36:36 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/v2?limit=10&convert=USD 
15:36:37 | True  | valid-req   | 200 | {"data":[{"id":"bitcoin","rank... | https://api.coincap.io/v2/assets?limit=10&convert=USD 
15:36:37 | True  | valid-req   | 200 | {"data":[{"exchangeId":"binanc... | https://api.coincap.io/v2/exchanges?limit=10&convert=USD 
15:36:38 | True  | valid-req   | 200 | {"data":[{"exchangeId":"alterd... | https://api.coincap.io/v2/markets?limit=10&convert=USD 
15:36:38 | True  | valid-req   | 200 | {"data":[{"id":"bhutanese-ngul... | https://api.coincap.io/v2/rates?limit=10&convert=USD 
15:36:39 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/v2/trades?limit=10&convert=USD 
15:36:40 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/v2/ohlcv?limit=10&convert=USD 
15:36:40 | False | status-code | 404 | {"error":"history not found","... | https://api.coincap.io/v2/assets/history?limit=10&convert=USD 
15:36:41 | False | status-code | 404 | {"error":":assetId not found",... | https://api.coincap.io/v2/assets/:assetId?limit=10&convert=USD 
15:36:41 | False | status-code | 404 | {"error":":exchangeId not foun... | https://api.coincap.io/v2/exchanges/:exchangeId?limit=10&convert=USD 
15:36:42 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/v2/markets/:marketId?limit=10&convert=USD 
15:36:43 | False | status-code | 400 | {"error":"invalid query","time... | https://api.coincap.io/v2/assets?limit=10&limit=10&convert=USD 
15:36:43 | False | status-code | 400 | {"error":"invalid query","time... | https://api.coincap.io/v2/exchanges?limit=10&limit=10&convert=USD 
15:36:44 | False | status-code | 400 | {"error":"invalid query","time... | https://api.coincap.io/v2/markets?limit=10&limit=10&convert=USD 
15:36:44 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/v2/29?limit=10&convert=USD 
15:36:45 | True  | valid-req   | 200 | {"data":[{"id":"bitcoin","rank... | https://api.coincap.io/v2/assets?limit=10&convert=USD 
15:36:45 | True  | valid-req   | 200 | {"data":[{"exchangeId":"binanc... | https://api.coincap.io/v2/exchanges?limit=10&convert=USD 
15:36:46 | True  | valid-req   | 200 | {"data":[{"exchangeId":"alterd... | https://api.coincap.io/v2/markets?limit=10&convert=USD 
15:36:47 | True  | valid-req   | 200 | {"data":[{"id":"bhutanese-ngul... | https://api.coincap.io/v2/rates?limit=10&convert=USD 
15:36:47 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/v2/trades?limit=10&convert=USD 
15:36:48 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/v2/ohlcv?limit=10&convert=USD 
