TIME     | VALID | REASON      | COD | RESPONSE DATA                     | REQUEST
==================================================================================
17:18:19 | True  | valid-req   | 200 | <!DOCTYPE html><!--All GBIF me... | https://www.gbif.org/terms 
17:18:21 | False | status-code | 404 | <!DOCTYPE html><!--All GBIF me... | https://www.gbif.org/contact 
17:18:24 | False | status-code | 404 | <!DOCTYPE html><!--All GBIF me... | https://www.gbif.org/contact 
17:18:31 | True  | valid-req   | 200 | <!DOCTYPE html><!--All GBIF me... | https://www.gbif.org/contact-us 
17:18:42 | True  | valid-req   | 200 | <!DOCTYPE html><html dir="ltr"... | https://creativecommons.org/licenses/by/4.0 
17:18:45 | True  | valid-req   | 200 | <!DOCTYPE html><!--All GBIF me... | https://www.gbif.org/developer/species 
17:19:15 | True  | valid-req   | 200 | {"offset":0,"limit":10,"endOfR... | https://api.gbif.org/v1/species/search?q=cat&limit=10 
17:19:16 | True  | valid-req   | 200 | {"offset":0,"limit":10,"endOfR... | https://api.gbif.org/v1/species/search?q=cat&limit=10 
17:19:17 | False | status-code | 404 | <!DOCTYPE html><html>  <head> ... | https://api.gbif.org/invalidRoute/?invalidParam=invalidValue 
17:20:01 | False | status-code | 400 | For input string: "search"        | https://api.gbif.org/v1/species/search/name?q=cat&limit=10 
17:20:02 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/search/kingdom?q=cat&limit=10 
17:20:03 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/search/phylum?q=cat&limit=10 
17:20:03 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/search/class?q=cat&limit=10 
17:20:04 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/search/order?q=cat&limit=10 
17:20:04 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/search/family?q=cat&limit=10 
17:20:05 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/search/genus?q=cat&limit=10 
17:20:06 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/search/higherTaxonKey?q=cat&limit=10 
17:20:07 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/search/rank?q=cat&limit=10 
17:20:07 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/search/vernacularName?q=cat&limit=10 
17:20:08 | False | status-code | 400 | For input string: "search"        | https://api.gbif.org/v1/species/search/name?q=elephant&q=cat&limit=10 
17:20:09 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/search/kingdom?name=Animalia&q=cat&limit=10 
17:20:09 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/search/phylum?rank=class&q=cat&limit=10 
17:20:10 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/search/66?q=cat&limit=10 
17:20:11 | True  | valid-req   | 200 | {"offset":0,"limit":10,"endOfR... | https://api.gbif.org/v1/species?q=cat&limit=10 
17:20:12 | True  | valid-req   | 200 | {"offset":0,"limit":10,"endOfR... | https://api.gbif.org/v1/species/search?q=cat&limit=10 
17:20:12 | False | status-code | 400 | For input string: "occurrence"    | https://api.gbif.org/v1/species/occurrence?q=cat&limit=10 
17:20:13 | True  | valid-req   | 200 | [{"key":4632438,"nameKey":2104... | https://api.gbif.org/v1/species/suggest?q=cat&limit=10 
17:20:14 | True  | valid-req   | 200 | {"confidence":100,"note":"No n... | https://api.gbif.org/v1/species/match?q=cat&limit=10 
17:20:14 | False | status-code | 400 | For input string: "name"          | https://api.gbif.org/v1/species/name?q=cat&limit=10 
17:20:15 | False | status-code | 400 | For input string: "species"       | https://api.gbif.org/v1/species/species?q=cat&limit=10 
17:20:16 | False | status-code | 400 | For input string: "dataset"       | https://api.gbif.org/v1/species/dataset?q=cat&limit=10 
17:20:17 | False | status-code | 400 | For input string: "parent"        | https://api.gbif.org/v1/species/parent?q=cat&limit=10 
17:20:18 | False | status-code | 400 | For input string: "children"      | https://api.gbif.org/v1/species/children?q=cat&limit=10 
17:20:18 | False | status-code | 400 | For input string: "ancestor"      | https://api.gbif.org/v1/species/ancestor?q=cat&limit=10 
17:20:19 | True  | valid-req   | 200 | {"offset":0,"limit":10,"endOfR... | https://api.gbif.org/v1/species/search?rank=species&q=cat&limit=10 
17:20:20 | False | status-code | 400 | For input string: "occurrence"    | https://api.gbif.org/v1/species/occurrence?taxonKey=2481701&q=cat&limit=10 
17:20:20 | False | status-code | 404 | {"timestamp":"2023-11-23T16:20... | https://api.gbif.org/v1/species/21?q=cat&limit=10 
17:20:21 | True  | valid-req   | 200 | {"offset":0,"limit":10,"endOfR... | https://api.gbif.org/v1/species/search?q=cat&limit=10 
17:20:22 | False | status-code | 400 | For input string: "suggestions... | https://api.gbif.org/v1/species/suggestions?q=cat&limit=10 
17:20:22 | False | status-code | 400 | For input string: "occurrence"    | https://api.gbif.org/v1/species/occurrence?q=cat&limit=10 
17:20:23 | False | status-code | 400 | For input string: "name"          | https://api.gbif.org/v1/species/name?q=cat&limit=10 
17:20:24 | False | status-code | 400 | For input string: "dataset"       | https://api.gbif.org/v1/species/dataset?q=cat&limit=10 
17:20:24 | False | status-code | 400 | For input string: "download"      | https://api.gbif.org/v1/species/download?q=cat&limit=10 
17:20:25 | False | status-code | 400 | For input string: "metrics"       | https://api.gbif.org/v1/species/metrics?q=cat&limit=10 
17:20:25 | False | status-code | 400 | For input string: "language"      | https://api.gbif.org/v1/species/language?q=cat&limit=10 
17:20:26 | False | status-code | 400 | For input string: "reference"     | https://api.gbif.org/v1/species/reference?q=cat&limit=10 
17:20:27 | False | status-code | 400 | For input string: "media"         | https://api.gbif.org/v1/species/media?q=cat&limit=10 
17:20:27 | False | status-code | 400 | Cannot parse kingsdom into a k... | https://api.gbif.org/v1/species/search?rank=kingsdom&q=cat&limit=10 
