TIME     | VALID | REASON      | COD | RESPONSE DATA                     | REQUEST
==================================================================================
20:28:27 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/terms 
20:28:46 | False | status-code | 404 | <!DOCTYPE html><html><head><li... | https://coincap.io/terms 
20:28:51 | False | status-code | 404 | <!DOCTYPE html><html><head><li... | https://coincap.io/terms 
20:28:54 | False | status-code | 404 | <!DOCTYPE html><html><head><li... | https://coincap.io/support 
20:29:13 | False | timeout     | 408 |                                   | https://support.coincap.io 
20:29:16 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/support 
20:29:28 | True  | valid-req   | 200 | <!doctype html><html lang="en-... | https://opensource.org/licenses/MIT 
20:29:31 | True  | valid-req   | 200 | <!doctype html><html lang="en"... | https://docs.coincap.io 
20:29:36 | True  | valid-req   | 200 | {"data":[{"id":"bitcoin","rank... | https://api.coincap.io/v2/assets?limit=10 
20:29:37 | True  | valid-req   | 200 | {"data":[{"id":"bitcoin","rank... | https://api.coincap.io/v2/assets?limit=10 
20:29:37 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/invalidRoute/?invalidParam=invalidValue 
20:30:29 | False | status-code | 404 | {"error":"assets not found","t... | https://api.coincap.io/v2/assets/assets?limit=10 
20:30:29 | False | status-code | 404 | {"error":"markets not found","... | https://api.coincap.io/v2/assets/markets?limit=10 
20:30:30 | False | status-code | 404 | {"error":"exchanges not found"... | https://api.coincap.io/v2/assets/exchanges?limit=10 
20:30:30 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/v2/assets/assets/73?limit=10 
20:30:31 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/v2/assets/assets/11/markets?limit=10 
20:30:31 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/v2/assets/assets/80/history?limit=10 
20:30:32 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/v2/assets/assets/42/social?limit=10 
20:30:33 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/v2/assets/assets/99/events?limit=10 
20:30:33 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/v2/assets/assets/54/ohlc?limit=10 
20:30:34 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/v2/assets/assets/52/order_book?limit=10 
20:30:34 | False | status-code | 404 | {"error":"assets not found","t... | https://api.coincap.io/v2/assets/assets?limit=10&limit=10 
20:30:35 | False | status-code | 404 | {"error":"markets not found","... | https://api.coincap.io/v2/assets/markets?limit=10&limit=10 
20:30:35 | False | status-code | 404 | {"error":"exchanges not found"... | https://api.coincap.io/v2/assets/exchanges?limit=10&limit=10 
20:30:36 | False | status-code | 404 | {"error":"31 not found","times... | https://api.coincap.io/v2/assets/31?limit=10 
20:30:37 | False | status-code | 404 | <!DOCTYPE html><html lang="en"... | https://api.coincap.io/v2?limit=10 
20:30:37 | True  | valid-req   | 200 | {"data":[{"id":"bitcoin","rank... | https://api.coincap.io/v2/assets?limit=10 
20:30:38 | True  | valid-req   | 200 | {"data":[{"exchangeId":"binanc... | https://api.coincap.io/v2/exchanges?limit=10 
20:30:38 | True  | valid-req   | 200 | {"data":[{"exchangeId":"alterd... | https://api.coincap.io/v2/markets?limit=10 
20:30:39 | True  | valid-req   | 200 | {"data":[{"id":"litecoin","sym... | https://api.coincap.io/v2/rates?limit=10 
20:30:39 | False | status-code | 404 | {"error":"btc not found","time... | https://api.coincap.io/v2/assets/btc?limit=10 
20:30:40 | False | status-code | 404 | {"error":"eth not found","time... | https://api.coincap.io/v2/assets/eth?limit=10 
20:30:41 | False | status-code | 404 | {"error":"ltc not found","time... | https://api.coincap.io/v2/assets/ltc?limit=10 
20:30:41 | True  | valid-req   | 200 | {"data":{"id":"xrp","rank":"5"... | https://api.coincap.io/v2/assets/xrp?limit=10 
20:30:42 | False | status-code | 404 | {"error":"bch not found","time... | https://api.coincap.io/v2/assets/bch?limit=10 
20:30:42 | True  | valid-req   | 200 | {"data":{"id":"eos","rank":"58... | https://api.coincap.io/v2/assets/eos?limit=10 
20:30:43 | False | status-code | 400 | {"error":"invalid query","time... | https://api.coincap.io/v2/assets?limit=10&limit=10 
20:30:43 | False | status-code | 400 | {"error":"invalid query","time... | https://api.coincap.io/v2/exchanges?limit=10&limit=10 
