TIME     | VALID | REASON      | COD | RESPONSE DATA                     | REQUEST
==================================================================================
16:35:22 | True  | valid-req   | 200 | <!DOCTYPE html><!--All GBIF me... | https://www.gbif.org/terms 
16:35:23 | False | status-code | 404 | <!DOCTYPE html><!--All GBIF me... | https://www.gbif.org/contact 
16:35:24 | True  | valid-req   | 200 | <!DOCTYPE html><!--All GBIF me... | https://www.gbif.org/contact-us 
16:35:26 | True  | valid-req   | 200 | <!DOCTYPE html><html dir="ltr"... | https://creativecommons.org/publicdomain/zero/1.0 
16:35:28 | True  | valid-req   | 200 | <!DOCTYPE html><html lang="en"... | https://www.gbif.org/developer/species 
16:35:33 | True  | valid-req   | 200 | {"offset":0,"limit":20,"endOfR... | https://api.gbif.org/v1/species/search?q=Plantae&rank=GENUS 
16:35:33 | True  | valid-req   | 200 | {"key":1,"nubKey":1,"nameKey":... | https://api.gbif.org/v1/species/1 
16:35:35 | True  | valid-req   | 200 | {"offset":0,"limit":20,"endOfR... | https://api.gbif.org/v1/species/1/children 
16:35:35 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/1/classification 
16:35:36 | True  | valid-req   | 200 | {"offset":0,"limit":20,"endOfR... | https://api.gbif.org/v1/species/1/descriptions 
16:35:37 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/1/invasiveOccurrences 
16:35:37 | True  | valid-req   | 200 | {"offset":0,"limit":20,"endOfR... | https://api.gbif.org/v1/species/1/related 
16:35:38 | True  | valid-req   | 200 | {"offset":0,"limit":20,"endOfR... | https://api.gbif.org/v1/species/1/media 
16:35:39 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/1/occurrenceDownload 
16:35:39 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/1/worms 
16:35:40 | True  | valid-req   | 200 | {"offset":0,"limit":20,"endOfR... | https://api.gbif.org/v1/species/1/vernacularNames 
16:35:40 | False | status-code | 404 | <!DOCTYPE html><html>  <head> ... | https://api.gbif.org/invalidRoute/?invalidParam=invalidValue 
16:35:49 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/1/vernacularNames/en 
16:35:50 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/1/vernacularNames/es 
16:35:50 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/1/vernacularNames/fr 
16:35:51 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/1/vernacularNames/de 
16:35:51 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/1/vernacularNames/pt 
16:35:52 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/1/vernacularNames/it 
16:35:52 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/1/vernacularNames/nl 
16:35:53 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/1/vernacularNames/sv 
16:35:53 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/1/vernacularNames/zh 
16:35:54 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/1/vernacularNames/pl 
16:35:55 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/1/vernacularNames/en?limit=10 
16:35:55 | False | status-code | 404 | < DATA>                           | https://api.gbif.org/v1/species/1/vernacularNames/es?offset=0&limit=10 
